epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,17188.7,0.65435,0.39637,0.91151,0.83199,0.70353,0.77275,0.54125,1.05376,0.8572,1.15439,0.000458624,0.000458624,0.000458624
61,17475.2,0.64782,0.39353,0.90769,0.80308,0.71748,0.77338,0.54512,1.04654,0.88168,1.15981,0.000440046,0.000440046,0.000440046
62,17761.8,0.64508,0.3865,0.90656,0.82049,0.71607,0.76875,0.53422,1.05241,0.85851,1.16485,0.000421656,0.000421656,0.000421656
63,18048.7,0.63171,0.38283,0.89726,0.80487,0.71577,0.77165,0.53992,1.03497,0.8475,1.14302,0.000403473,0.000403473,0.000403473
64,18335,0.62248,0.37528,0.8991,0.8034,0.72239,0.77232,0.54207,1.04508,0.84033,1.15163,0.000385515,0.000385515,0.000385515
65,18621.9,0.62116,0.37472,0.89931,0.81844,0.70191,0.76697,0.54026,1.04783,0.84741,1.16092,0.000367799,0.000367799,0.000367799
66,18908,0.6116,0.36948,0.89361,0.83396,0.69378,0.76979,0.54235,1.04099,0.86282,1.14684,0.000350343,0.000350343,0.000350343
67,19194.3,0.61307,0.36904,0.8958,0.79854,0.71716,0.77001,0.54204,1.03565,0.8531,1.14978,0.000333165,0.000333165,0.000333165
68,19480.5,0.60628,0.366,0.89478,0.81124,0.69956,0.76703,0.54023,1.03437,0.86951,1.14373,0.000316281,0.000316281,0.000316281
69,19766.5,0.60085,0.3581,0.88793,0.81563,0.71145,0.77241,0.54234,1.03724,0.84263,1.15363,0.000299707,0.000299707,0.000299707
70,20052.3,0.59113,0.35347,0.88832,0.80605,0.72401,0.77278,0.54356,1.03275,0.82803,1.14925,0.000283461,0.000283461,0.000283461
71,20338.3,0.59019,0.35093,0.88718,0.79686,0.72179,0.77044,0.54561,1.0337,0.84878,1.14964,0.000267558,0.000267558,0.000267558
72,20624.5,0.57953,0.34757,0.87926,0.79769,0.71269,0.76995,0.54196,1.02862,0.86184,1.14521,0.000252014,0.000252014,0.000252014
73,20910.7,0.57801,0.34349,0.87996,0.81642,0.71516,0.77246,0.54102,1.03609,0.85512,1.15049,0.000236844,0.000236844,0.000236844
74,21196.8,0.5665,0.3406,0.87926,0.80804,0.72318,0.77758,0.54508,1.03089,0.82499,1.15621,0.000222063,0.000222063,0.000222063
75,21482.8,0.56821,0.3382,0.88015,0.79082,0.72433,0.77569,0.54445,1.04004,0.83659,1.15573,0.000207686,0.000207686,0.000207686
76,21768.4,0.5648,0.33697,0.87644,0.79405,0.71821,0.77029,0.54279,1.04316,0.85887,1.16238,0.000193728,0.000193728,0.000193728
77,22054.2,0.55564,0.33071,0.87577,0.80013,0.72165,0.76935,0.5447,1.03901,0.85472,1.1642,0.000180201,0.000180201,0.000180201
78,22340.5,0.55072,0.33,0.87565,0.82069,0.70789,0.7717,0.54295,1.05262,0.84608,1.1748,0.000167119,0.000167119,0.000167119
79,22626.7,0.55235,0.33071,0.8741,0.8007,0.71087,0.76732,0.53997,1.04628,0.86832,1.17193,0.000154495,0.000154495,0.000154495
